# hostname;interval;timestamp;iface;rxerr;txerr;coll;rxdrop;txdrop;txcarr;rxfram;rxfifo;txfifo
pablolaptop.pegaso.lan;601;2024-06-08 16:40:01;wlp0s20f3;0.0;0.0;0.0;0.03;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 16:50:01;lo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 16:50:01;wlp0s20f3;0.0;0.0;0.0;0.03;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 17:00:02;lo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 17:00:02;wlp0s20f3;0.0;0.0;0.0;0.03;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 17:10:02;lo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 17:10:02;wlp0s20f3;0.0;0.0;0.0;0.03;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 17:20:03;lo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 17:20:03;wlp0s20f3;0.0;0.0;0.0;0.03;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 17:30:04;lo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 17:30:04;wlp0s20f3;0.0;0.0;0.0;0.05;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 17:40:04;lo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 17:40:04;wlp0s20f3;0.0;0.0;0.0;0.04;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 17:50:05;lo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 17:50:05;wlp0s20f3;0.0;0.0;0.0;0.03;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 18:00:06;lo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 18:00:06;wlp0s20f3;0.0;0.0;0.0;0.03;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 18:10:06;lo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 18:10:06;wlp0s20f3;0.0;0.0;0.0;0.03;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 18:20:07;lo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 18:20:07;wlp0s20f3;0.0;0.0;0.0;0.05;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 18:30:07;lo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 18:30:07;wlp0s20f3;0.0;0.0;0.0;0.03;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 18:40:08;lo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 18:40:08;wlp0s20f3;0.0;0.0;0.0;0.03;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 18:50:09;lo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 18:50:09;wlp0s20f3;0.0;0.0;0.0;0.03;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 19:00:09;lo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 19:00:09;wlp0s20f3;0.0;0.0;0.0;0.03;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;591;2024-06-08 19:10:00;lo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;591;2024-06-08 19:10:00;wlp0s20f3;0.0;0.0;0.0;0.03;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 19:20:01;lo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 19:20:01;wlp0s20f3;0.0;0.0;0.0;0.03;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 19:30:01;lo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 19:30:01;wlp0s20f3;0.0;0.0;0.0;0.03;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 19:40:02;lo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 19:40:02;wlp0s20f3;0.0;0.0;0.0;0.04;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 19:50:02;lo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 19:50:02;wlp0s20f3;0.0;0.0;0.0;0.04;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 20:00:03;lo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 20:00:03;wlp0s20f3;0.0;0.0;0.0;0.03;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 20:10:04;lo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 20:10:04;wlp0s20f3;0.0;0.0;0.0;0.03;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 20:20:04;lo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 20:20:04;wlp0s20f3;0.0;0.0;0.0;0.03;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 20:30:05;lo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 20:30:05;wlp0s20f3;0.0;0.0;0.0;0.03;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 20:40:06;lo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 20:40:06;wlp0s20f3;0.0;0.0;0.0;0.04;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 20:50:06;lo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 20:50:06;wlp0s20f3;0.0;0.0;0.0;0.03;0.0;0.0;0.0;0.0;0.0
